path,kind,status,bytes,pages,fonts,vs_v12,finding
02-Website/edm-site/assets/fonts/montserrat-400i.woff2,font,live,19260,,,unchanged,W1 italic shipped; not in the brand system
02-Website/edm-site/assets/fonts/montserrat-500.woff2,font,live,18748,,,unchanged,W1 Medium 500 shipped; not in the brand system
02-Website/edm-site/assets/fonts/montserrat-600.woff2,font,live,18688,,,unchanged,
02-Website/edm-site/assets/fonts/montserrat-700.woff2,font,live,18824,,,unchanged,
02-Website/edm-site/assets/kenny-buchanan.jpg,image,live,91963,,,unchanged,
02-Website/edm-site/assets/og-image.png,image,live,164913,,,unchanged,
02-Website/edm-site/capabilities.html,source/app,live,13853,,,unchanged,
02-Website/edm-site/capability-statement.html,source/app,live,126724,,,unchanged,W8 101KB base64 data URI inline
02-Website/edm-site/careers.html,source/app,live,9374,,,unchanged,
02-Website/edm-site/contact.html,source/app,live,13344,,,unchanged,
02-Website/edm-site/drywall-contractor-australia.html,source/app,live,13264,,,unchanged,
02-Website/edm-site/drywall-contractor-ireland.html,source/app,live,13316,,,unchanged,
02-Website/edm-site/drywall-contractor-london.html,source/app,live,13527,,,unchanged,
02-Website/edm-site/drywall-contractor-uae.html,source/app,live,13570,,,unchanged,
02-Website/edm-site/drywall-partitions-ceilings.html,source/app,live,12056,,,unchanged,
02-Website/edm-site/index.html,source/app,live,16601,,,unchanged,
02-Website/edm-site/joinery.html,source/app,live,11739,,,unchanged,
02-Website/edm-site/painting-decorative-finishes.html,source/app,live,11721,,,unchanged,
02-Website/edm-site/privacy.html,source/app,live,8407,,,unchanged,
02-Website/edm-site/projects.html,source/app,live,10195,,,unchanged,
02-Website/edm-site/robots.txt,documentation,live,72,,,unchanged,
02-Website/edm-site/sitemap.xml,code,live,2484,,,unchanged,
02-Website/edm-site/timber-cladding.html,source/app,live,11897,,,unchanged,
02-Website/edm-site/where-we-operate.html,source/app,live,171118,,,unchanged,W5 <title> claims four markets (Decision 3); W8 143KB inline SVG
02-Website/edm-site/work-with-us.html,source/app,live,10541,,,unchanged,
